id;project_template_code;project_template_name_ar;project_template_name_en
1;back-end EXE Angola;copying;Integration Garden Borders
2;Gorgeous calculating SMTP;Customer;capacitor
3;withdrawal;Table Practical deposit;Visionary Soft
4;Gorgeous Cheese;optical;Reduced
5;Plastic;value-added 1080p Innovative;capacitor Somalia
6;Account Chicken Springs;vortals Borders;value-added Indiana
7;Cotton convergence;Research Market plum;foreground Consultant Arizona
8;Bypass Loop;drive Forges;Developer Open-source utilize
9;Branding Buckinghamshire;Cloned Intuitive;plum web-enabled Executive
10;Stravenue complexity;THX Chips;Rapids
