id;attr_code;attr_code_name_ar;attr_code_name_en;attr_type
1;AI pixel;back-end JBOD Officer;Chicken;bypassing matrices Electronics
2;Trace;Garden Fresh;deposit deposit Fresh;open Focused
3;JSON synthesizing;Turkey e-enable Concrete;index Hawaii;mobile
4;parse Concrete Money;navigate Granite turquoise;synergistic hacking Automotive;Buckinghamshire calculating
5;redundant;Land neural Fantastic;mobile Gardens;auxiliary
6;initiatives Soft Brand;digital;Rhode back-end Home;Fresh Manat
7;Loan Analyst;compelling Chicken Brand;system;Keyboard Berkshire interface
8;Consultant;Lead Phased;National;Borders world-class
9;Unbranded Indiana Toys;Refined Serbian;Paradigm Balanced;Gloves Tasty
10;line quantifying;benchmark Legacy;quantify Representative;deploy
