id;sys_code;code;description_ar;description_en
1;Manager;Drive;Account Licensed;Trace dynamic
2;ubiquitous Yuan;convergence;reboot;Hawaii Shirt application
3;Account harness system;Digitized virtual throughput;bypass Frozen Chair;Automotive transmitting
4;Enhanced Sausages PNG;index solutions;Technician Focused Account;Concrete
5;Federation Planner;monitor;SAS;Cotton empowering
6;invoice Response;Forward maximized payment;solid;California Directives
7;interface;Parkways Manors;Granite Georgia;Wooden Toys cross-platform
8;Customer Intranet Keyboard;Intelligent Account;Human leading-edge Steel;Implemented Rubber
9;Pants Concrete Avon;Functionality Cambridgeshire Extended;deposit;Cambridgeshire Ball Argentina
10;Frozen Licensed;Avon;Savings Baby bifurcated;Books tangible
