id;attr_code;attr_code_name_ar;attr_code_name_en;attr_type;attr_value
1;Wooden SQL Rubber;backing innovate;Fresh Consultant connect;Cross-platform;reboot Home generate
2;Metal;Incredible transmitting;foreground Estonia;Franc;supply-chains
3;Automotive;Industrial;calculate Games;Handcrafted;copying
4;Delaware;deposit parsing Account;Industrial red;feed;Outdoors Beauty
5;alarm Lock;Fiji quantifying;dot-com parsing;Nebraska Ergonomic;grey Avon Alaska
6;synthesizing Neck benchmark;set strategic;Sports;Organized Table;parsing
7;Sleek sexy;RSS next Granite;protocol Spain leading-edge;azure Manager Verde;Awesome Cambridgeshire
8;reboot;embrace Taka synthesizing;Configurable withdrawal;SMS payment;User-friendly
9;online reintermediate;Ergonomic Progressive Fish;efficient Human;Shoes plum Rustic;synergies
10;PCI Fundamental of;Grocery;Corner Gibraltar;North Villages redundant;migration
